"time" "N1" "N2" "N3" "N4" "N5" "N6" "N7" "N8" "N9" "N10" "N11" "N12"
"1" 0 0.11 0.12 0.13 0.14 0.15 0 0 0 0 0 0 0
"2" 0.25 0.1304 0.1427 0.1548 0.1652 0.1774 0 0 0 0 0 0 0
"3" 0.5 0.1546 0.1697 0.1843 0.1948 0.2099 0 0 0 0 0 0 0
"4" 0.75 0.1832 0.2018 0.2194 0.2298 0.2482 0 0 0 0 0 0 0
"5" 1 0.2171 0.24 0.2612 0.2711 0.2936 0 0 0 0 0 0 0
"6" 1.25 0.2574 0.2854 0.311 0.3198 0.3472 0 0 0 0 0 0 0
"7" 1.5 0.305 0.3394 0.3702 0.3772 0.4106 0 0 0 0 0 0 0
"8" 1.75 0.3615 0.4036 0.4407 0.4449 0.4855 0 0 0 0 0 0 0
"9" 2 0.4284 0.4799 0.5246 0.5247 0.5742 0 0 0 0 0 0 0
"10" 2.25 0.5076 0.5705 0.6244 0.6187 0.6789 0 0 0 0 0 0 0
"11" 2.5 0.6015 0.6783 0.7432 0.7296 0.8026 0 0 0 0 0 0 0
"12" 2.75 0.7126 0.8064 0.8845 0.8602 0.9489 0 0 0 0 0 0 0
"13" 3 0.8442 0.9585 1.0526 1.014 1.1216 0 0 0 0 0 0 0
"14" 3.25 1 1.1393 1.2526 1.1952 1.3256 0 0 0 0 0 0 0
"15" 3.5 1.1843 1.354 1.4903 1.4085 1.5665 0 0 0 0 0 0 0
"16" 3.75 1.4024 1.6088 1.773 1.6594 1.8507 0 0 0 0 0 0 0
"17" 4 1.6602 1.9113 2.1088 1.9546 2.186 0 0 0 0 0 0 0
"18" 4.25 1.9649 2.2702 2.5079 2.3015 2.5812 0 0 0 0 0 0 0
"19" 4.5 2.3249 2.6958 2.9816 2.7088 3.0468 0 0 0 0 0 0 0
"20" 4.75 2.7496 3.2001 3.5439 3.1867 3.5948 0 0 0 0 0 0 0
"21" 5 3.2504 3.7972 4.2105 3.7467 4.2391 0 0 0 0 0 0 0
"22" 5.25 3.84 4.5034 5.0003 4.4017 4.9956 0 0 0 0 0 0 0
"23" 5.5 4.5331 5.3377 5.9347 5.1664 5.882 0 0 0 0 0 0 0
"24" 5.75 5.3462 6.3214 7.0384 6.0567 6.9184 0 0 0 0 0 0 0
"25" 6 6.2973 7.4787 8.3395 7.0895 8.126 0 0 0 0 0 0 0
"26" 6.25 7.4053 8.8357 9.8684 8.2817 9.5272 0 0 0 0 0 0 0
"27" 6.5 8.6889 10.4195 11.6574 9.6481 11.1425 0 0 0 0 0 0 0
"28" 6.75 10.1632 12.2551 13.7372 11.1974 12.9871 0 0 0 0 0 0 0
"29" 7 11.8337 14.3587 16.1301 12.9245 15.0618 0 0 0 0 0 0 0
"30" 7.25 13.6818 16.7225 18.8333 14.7938 17.3344 0 0 0 0 0 0 0
"31" 7.5 15.6334 19.2778 21.7794 16.7037 19.6987 0 0 0 0 0 0 0
"32" 7.75 17.4881 21.8067 24.7363 18.418 21.8881 0 0 0 0 0 0 0
"33" 8 18.8365 23.8065 27.1431 19.52 23.3951 0 0 0 0 0 0 0
"34" 8.25 19.3761 24.812 28.439 19.7913 23.8964 0 0 0 0 0 0 0
"35" 8.5 19.4527 25.1964 29.0166 19.6329 23.8493 0 0 0 0 0 0 0
"36" 8.75 19.4183 25.4259 29.4138 19.3792 23.675 0 0 0 0 0 0 0
"37" 9 19.3649 25.6294 29.7825 19.1124 23.4802 0 0 0 0 0 0 0
"38" 9.25 19.3074 25.8283 30.1482 18.8458 23.2824 0 0 0 0 0 0 0
"39" 9.5 19.2481 26.0256 30.5147 18.5812 23.0839 0 0 0 0 0 0 0
"40" 9.75 19.1873 26.2219 30.8826 18.319 22.8853 0 0 0 0 0 0 0
"41" 10 19.125 26.4171 31.2517 18.0591 22.6865 0 0 0 0 0 0 0
"42" 10.25 19.0613 26.6113 31.6222 17.8017 22.4877 0 0 0 0 0 0 0
"43" 10.5 18.9962 26.8044 31.994 17.5466 22.2889 0 0 0 0 0 0 0
"44" 10.75 18.9297 26.9963 32.3669 17.2939 22.0901 0 0 0 0 0 0 0
